127.0.0.1 - - [03/Dec/2015:21:07:18 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:07:55 +0800] "GET /SC/dorado/client/resources/icons/entypo/fonts/entypo.woff?-19cwuo HTTP/1.1" 200 28028
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:07:56 +0800] "POST /SC/dorado/view-service HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:07:56 +0800] "GET /SC/com.bstek.dorado.sample.Welcome.d HTTP/1.1" 200 5207
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:07:56 +0800] "GET /SC/images/sample-center.png HTTP/1.1" 200 23212
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:07:56 +0800] "GET /SC/images/dorado-parts.png HTTP/1.1" 200 28519
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:06 +0800] "GET /SC/com.bstek.dorado.sample.CategorySummary.d?categoryId=88455 HTTP/1.1" 200 1822
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:06 +0800] "GET /SC/images/anchor.gif HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:06 +0800] "GET /SC/dorado/client/grid.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 41833
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:06 +0800] "GET /SC/dorado/client/skins/modern/grid-skin.dpkg?cacheBuster=1449148030576 HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:06 +0800] "POST /SC/dorado/view-service HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:34 +0800] "GET /SC/com.bstek.dorado.sample.Main.d HTTP/1.1" 200 5198
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:35 +0800] "GET /SC/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/boot.dpkg?clientType=desktop&skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/jquery-plugins.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 6417
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/json2.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/jquery.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 49689
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/jquery-ui.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 26505
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/underscore.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 6643
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/data.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 30721
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/widget.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/desktop-support.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/skins/modern/core-skin.dpkg?cacheBuster=1449148030576 HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/nprogress.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/resources/icons/entypo/entypo-support.dpkg?cacheBuster=1449148030576 HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/skins/modern/widget-support-skin.dpkg?cacheBuster=1449148030576 HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/touch-patch.dpkg?skin=modern&cacheBuster=1449148030576 HTTP/1.1" 200 9509
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/resources/icons/font-awesome/font-awesome-support.dpkg?cacheBuster=1449148030576 HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [03/Dec/2015:21:08:46 +0800] "GET /SC/dorado/client/skins/modern/nprogress-skin.dpkg?cacheBuster=1449148030576 HTTP/1.1" 200 307
